DATE,USD_W,DT_W,V_W
5/9/2010,"19,490.00",76.45,"1,244.50"
12/9/2010,"19,495.00",73.66,"1,275.60"
19/09/2010,"19,490.00",76.49,"1,296.00"
26/09/2010,"19,490.00",81.58,"1,316.10"
3/10/2010,"19,497.50",82.66,"1,344.20"
10/10/2010,"19,498.50",81.25,"1,371.10"
17/10/2010,"19,485.00",81.69,"1,324.40"
24/10/2010,"19,490.00",81.43,"1,357.10"
31/10/2010,"19,495.00",86.85,"1,397.30"
7/11/2010,"19,495.00",84.88,"1,365.40"
14/11/2010,"19,495.00",81.51,"1,352.20"
21/11/2010,"19,497.50",83.76,"1,362.30"
28/11/2010,"19,499.00",89.19,"1,405.40"
5/12/2010,"19,495.00",87.79,"1,384.30"
12/12/2010,"19,497.50",88.02,"1,378.60"
19/12/2010,"19,499.00",91.51,"1,380.00"
26/12/2010,"19,497.50",91.38,"1,421.10"
2/1/2011,"19,499.00",88.03,"1,368.50"
9/1/2011,"19,497.50",91.54,"1,360.40"
16/01/2011,"19,497.50",89.11,"1,341.00"
23/01/2011,"19,497.50",89.34,"1,340.70"
30/01/2011,"19,495.00",89.03,"1,348.30"
6/2/2011,"20,800.00",85.58,"1,359.90"
13/02/2011,"20,882.50",86.2,"1,388.20"
20/02/2011,"20,887.50",97.88,"1,408.70"
27/02/2011,"20,835.00",104.42,"1,428.20"
6/3/2011,"20,872.50",101.16,"1,421.50"
13/03/2011,"20,855.00",101.07,"1,415.90"
20/03/2011,"20,875.00",105.4,"1,426.10"
27/03/2011,"20,912.50",107.94,"1,428.10"
3/4/2011,"20,830.00",112.79,"1,473.40"
10/4/2011,"20,892.50",109.66,"1,485.30"
17/04/2011,"20,865.00",112.29,"1,503.20"
24/04/2011,"20,645.00",113.93,"1,556.00"
1/5/2011,"20,620.00",97.18,"1,491.20"
8/5/2011,"20,610.00",99.65,"1,493.40"
15/05/2011,"20,750.00",99.49,"1,508.80"
22/05/2011,"20,580.00",100.59,"1,536.30"
29/05/2011,"20,555.00",100.22,"1,541.70"
5/6/2011,"20,550.00",99.29,"1,528.60"
12/6/2011,"20,750.00",93.01,"1,538.60"
19/06/2011,"20,575.00",91.16,"1,500.50"
26/06/2011,"20,585.00",94.94,"1,482.30"
3/7/2011,"20,590.00",96.2,"1,541.20"
10/7/2011,"20,575.00",97.24,"1,589.80"
17/07/2011,"20,600.00",99.87,"1,601.30"
24/07/2011,"20,595.00",95.7,"1,628.30"
31/07/2011,"20,585.00",86.88,"1,648.80"
7/8/2011,"20,817.00",85.38,"1,740.20"
14/08/2011,"20,800.00",82.26,"1,848.90"
21/08/2011,"20,832.00",85.37,"1,794.10"
28/08/2011,"20,832.00",86.45,"1,873.70"
4/9/2011,"20,817.00",87.24,"1,856.40"
11/9/2011,"20,832.00",87.96,"1,812.10"
18/09/2011,"20,897.50",79.85,"1,637.50"
25/09/2011,"20,829.50",79.2,"1,620.40"
2/10/2011,"20,817.00",82.98,"1,634.50"
9/10/2011,"20,893.00",86.8,"1,681.80"
16/10/2011,"20,953.00",87.4,"1,635.10"
23/10/2011,"20,925.00",93.32,"1,746.20"
30/10/2011,"21,008.00",94.26,"1,755.30"
6/11/2011,"21,009.50",98.99,"1,787.50"
13/11/2011,"21,005.50",97.41,"1,724.70"
20/11/2011,"21,005.50",96.77,"1,685.50"
27/11/2011,"21,005.50",100.96,"1,747.00"
4/12/2011,"21,005.50",99.41,"1,712.80"
11/12/2011,"21,020.50",93.53,"1,595.60"
18/12/2011,"21,016.00",99.68,"1,604.70"
25/12/2011,"21,033.50",98.83,"1,565.80"
1/1/2012,"21,033.50",101.56,"1,616.10"
8/1/2012,"21,033.50",98.7,"1,630.40"
15/01/2012,"20,870.00",98.46,"1,663.70"
22/01/2012,"20,900.00",99.56,"1,731.80"
29/01/2012,"20,975.00",97.84,"1,737.90"
5/2/2012,"20,895.00",98.67,"1,723.30"
12/2/2012,"20,825.00",103.24,"1,724.50"
19/02/2012,"20,840.00",109.77,"1,775.10"
26/02/2012,"20,830.00",106.7,"1,708.80"
4/3/2012,"20,830.00",107.4,"1,710.90"
11/3/2012,"20,820.00",107.06,"1,655.50"
18/03/2012,"20,885.00",106.87,"1,662.30"
25/03/2012,"20,850.00",103.02,"1,669.30"
1/4/2012,"20,830.00",103.31,"1,628.50"
8/4/2012,"20,825.00",102.83,"1,659.10"
15/04/2012,"20,850.00",103.05,"1,642.10"
22/04/2012,"20,865.00",104.93,"1,664.00"
29/04/2012,"20,850.00",98.49,"1,644.70"
6/5/2012,"20,845.00",96.13,"1,583.60"
13/05/2012,"20,850.00",91.48,"1,591.60"
20/05/2012,"20,860.00",90.86,"1,568.80"
27/05/2012,"20,865.00",83.23,"1,620.50"
3/6/2012,"20,985.00",84.1,"1,590.10"
10/6/2012,"20,960.00",84.03,"1,627.00"
17/06/2012,"20,905.00",79.76,"1,566.00"
24/06/2012,"20,905.00",84.96,"1,603.50"
1/7/2012,"20,885.00",84.45,"1,578.40"
8/7/2012,"20,860.00",87.1,"1,591.60"
15/07/2012,"20,845.00",91.44,"1,582.50"
22/07/2012,"20,880.00",90.13,"1,617.90"
29/07/2012,"20,865.00",91.4,"1,606.00"
5/8/2012,"20,865.00",92.87,"1,619.70"
12/8/2012,"20,865.00",96.01,"1,616.30"
19/08/2012,"20,860.00",96.15,"1,669.80"
26/08/2012,"20,840.00",96.47,"1,684.60"
2/9/2012,"20,850.00",96.42,"1,737.50"
9/9/2012,"20,865.00",99,"1,769.80"
16/09/2012,"20,865.00",92.89,"1,775.50"
23/09/2012,"20,885.00",92.19,"1,771.10"
30/09/2012,"20,885.00",89.88,"1,778.60"
7/10/2012,"20,845.00",91.86,"1,758.00"
14/10/2012,"20,845.00",90.05,"1,722.80"
21/10/2012,"20,840.00",86.28,"1,710.90"
28/10/2012,"20,850.00",84.86,"1,674.10"
4/11/2012,"20,840.00",86.07,"1,730.30"
11/11/2012,"20,850.00",86.67,"1,714.30"
18/11/2012,"20,865.00",88.28,"1,751.30"
25/11/2012,"20,850.00",88.91,"1,710.90"
2/12/2012,"20,840.00",85.93,"1,704.00"
9/12/2012,"20,840.00",86.73,"1,695.80"
16/12/2012,"20,855.00",88.66,"1,659.10"
23/12/2012,"20,840.00",90.8,"1,654.90"
30/12/2012,"20,842.50",93.09,"1,648.10"
6/1/2013,"20,850.00",93.56,"1,660.00"
13/01/2013,"20,845.00",95.56,"1,686.60"
20/01/2013,"20,840.00",95.88,"1,656.40"
27/01/2013,"20,832.50",97.77,"1,669.40"
3/2/2013,"20,845.00",95.72,"1,666.00"
10/2/2013,"20,845.00",95.86,"1,608.80"
17/02/2013,"20,890.00",93.13,"1,572.40"
24/02/2013,"20,925.00",90.68,"1,571.90"
3/3/2013,"20,935.00",91.95,"1,576.60"
10/3/2013,"20,950.00",93.45,"1,592.50"
17/03/2013,"20,940.00",93.71,"1,606.20"
24/03/2013,"20,950.00",97.23,"1,594.80"
31/03/2013,"20,925.00",92.7,"1,575.40"
7/4/2013,"20,855.00",91.29,"1,501.00"
14/04/2013,"20,897.50",88.01,"1,395.30"
21/04/2013,"20,840.00",93,"1,453.60"
28/04/2013,"20,940.00",95.61,"1,464.30"
5/5/2013,"20,940.00",96.04,"1,436.80"
12/5/2013,"20,985.00",96.02,"1,364.90"
19/05/2013,"20,970.00",94.15,"1,386.80"
26/05/2013,"21,013.00",91.97,"1,392.60"
2/6/2013,"21,018.00",96.03,"1,383.00"
9/6/2013,"21,003.00",97.85,"1,387.30"
16/06/2013,"21,035.50",93.69,"1,291.60"
23/06/2013,"21,205.00",96.56,"1,223.80"
30/06/2013,"21,238.00",103.22,"1,212.90"
7/7/2013,"21,223.00",105.95,"1,277.80"
14/07/2013,"21,223.00",108.05,"1,293.30"
21/07/2013,"21,213.00",104.7,"1,321.70"
28/07/2013,"21,135.00",106.94,"1,310.60"
4/8/2013,"21,100.00",105.97,"1,312.90"
11/8/2013,"21,097.50",107.46,"1,371.70"
18/08/2013,"21,160.00",106.42,"1,395.70"
25/08/2013,"21,155.00",107.65,"1,396.10"
1/9/2013,"21,155.00",110.53,"1,386.70"
8/9/2013,"21,115.00",108.21,"1,308.40"
15/09/2013,"21,110.00",104.68,"1,332.50"
22/09/2013,"21,113.50",102.87,"1,338.40"
29/09/2013,"21,120.00",103.84,"1,309.70"
6/10/2013,"21,100.00",102.02,"1,268.00"
13/10/2013,"21,115.00",100.81,"1,314.40"
20/10/2013,"21,097.50",97.85,"1,352.40"
27/10/2013,"21,100.00",94.61,"1,313.10"
3/11/2013,"21,100.00",94.6,"1,284.50"
10/11/2013,"21,100.00",93.84,"1,287.30"
17/11/2013,"21,100.00",94.84,"1,244.00"
24/11/2013,"21,120.00",92.72,"1,250.60"
1/12/2013,"21,140.00",97.65,"1,230.30"
8/12/2013,"21,108.50",96.6,"1,235.70"
15/12/2013,"21,115.00",99.32,"1,205.10"
22/12/2013,"21,095.00",100.32,"1,216.10"
29/12/2013,"21,095.00",93.96,"1,238.40"
5/1/2014,"21,091.00",92.72,"1,246.70"
12/1/2014,"21,090.00",94.37,"1,251.70"
19/01/2014,"21,085.00",96.64,"1,264.50"
26/01/2014,"21,060.00",97.49,"1,240.10"
2/2/2014,"21,105.00",99.88,"1,263.30"
9/2/2014,"21,100.00",100.3,"1,319.00"
16/02/2014,"21,105.00",102.2,"1,323.90"
23/02/2014,"21,100.00",102.59,"1,321.40"
2/3/2014,"21,100.00",102.58,"1,338.10"
9/3/2014,"21,100.00",98.89,"1,379.00"
16/03/2014,"21,097.50",99.46,"1,336.00"
23/03/2014,"21,107.50",101.67,"1,293.80"
30/03/2014,"21,092.50",101.14,"1,303.20"
6/4/2014,"21,097.20",103.74,"1,318.70"
13/04/2014,"21,097.50",104.3,"1,293.40"
20/04/2014,"21,100.00",100.6,"1,300.70"
27/04/2014,"21,082.50",99.76,"1,302.60"
4/5/2014,"21,100.00",99.99,"1,287.30"
11/5/2014,"21,165.00",102.02,"1,293.30"
18/05/2014,"21,147.50",104.35,"1,291.60"
25/05/2014,"21,157.50",102.71,"1,245.60"
1/6/2014,"21,185.00",102.66,"1,252.10"
8/6/2014,"21,222.50",106.91,"1,273.70"
15/06/2014,"21,310.00",107.26,"1,316.20"
22/06/2014,"21,330.00",105.74,"1,319.00"
29/06/2014,"21,290.00",104.06,"1,320.40"
6/7/2014,"21,200.00",100.83,"1,337.00"
13/07/2014,"21,215.00",103.13,"1,309.20"
20/07/2014,"21,227.50",102.09,"1,303.10"
27/07/2014,"21,214.00",97.88,"1,293.60"
3/8/2014,"21,220.00",97.65,"1,308.90"
10/8/2014,"21,200.00",97.35,"1,304.50"
17/08/2014,"21,197.50",93.65,"1,278.60"
24/08/2014,"21,195.00",95.96,"1,285.80"
31/08/2014,"21,195.00",93.29,"1,265.80"
7/9/2014,"21,197.50",92.27,"1,229.90"
14/09/2014,"21,205.00",92.41,"1,215.30"
21/09/2014,"21,217.50",93.54,"1,214.10"
28/09/2014,"21,247.50",89.74,"1,192.20"
5/10/2014,"21,222.50",85.82,"1,221.00"
12/10/2014,"21,245.00",82.75,"1,238.30"
19/10/2014,"21,275.00",81.01,"1,231.20"
26/10/2014,"21,280.00",80.54,"1,171.10"
2/11/2014,"21,295.00",78.65,"1,169.60"
9/11/2014,"21,325.00",75.82,"1,185.00"
16/11/2014,"21,375.00",76.51,"1,197.50"
23/11/2014,"21,352.50",66.15,"1,175.20"
30/11/2014,"21,335.00",65.84,"1,190.10"
7/12/2014,"21,387.50",57.81,"1,222.00"
14/12/2014,"21,375.00",56.52,"1,195.90"
21/12/2014,"21,387.50",54.73,"1,195.30"
28/12/2014,"21,387.50",52.69,"1,337.70"
4/1/2015,"21,370.00",48.36,"1,357.40"
11/1/2015,"21,340.00",48.69,"1,404.90"
18/01/2015,"21,350.00",45.59,"1,417.60"
25/01/2015,"21,317.00",48.24,"1,384.60"
1/2/2015,"21,282.00",51.69,"1,332.60"
8/2/2015,"21,330.00",52.78,"1,325.20"
15/02/2015,"21,330.00",50.34,"1,303.20"
22/02/2015,"21,347.50",49.76,"1,309.40"
1/3/2015,"21,350.00",49.61,"1,265.60"
8/3/2015,"21,390.00",44.84,"1,248.90"
15/03/2015,"21,495.00",45.72,"1,274.70"
22/03/2015,"21,535.00",48.87,"1,291.90"
29/03/2015,"21,595.00",49.14,"1,288.20"
5/4/2015,"21,605.00",51.64,"1,293.30"
12/4/2015,"21,590.00",55.74,"1,288.10"
19/04/2015,"21,595.00",57.15,"1,260.40"
26/04/2015,"21,590.00",59.15,"1,266.10"
3/5/2015,"21,680.00",59.39,"1,282.50"
10/5/2015,"21,765.00",59.69,"1,318.90"
17/05/2015,"21,805.00",59.72,"1,299.70"
24/05/2015,"21,815.00",60.3,"1,280.70"
31/05/2015,"21,812.50",59.13,"1,266.60"
7/6/2015,"21,800.00",59.96,"1,281.00"
14/06/2015,"21,805.00",59.61,"1,299.40"
21/06/2015,"21,838.50",59.63,"1,273.10"
28/06/2015,"21,805.00",56.93,"1,261.50"
5/7/2015,"21,810.00",52.74,"1,256.60"
12/7/2015,"21,818.00",50.89,"1,230.70"
19/07/2015,"21,825.00",48.14,"1,180.00"
26/07/2015,"21,818.00",47.12,"1,183.10"
2/8/2015,"21,815.00",43.87,"1,185.80"
9/8/2015,"22,103.00",42.5,"1,202.30"
16/08/2015,"22,518.50",40.45,"1,246.80"
23/08/2015,"22,462.50",45.22,"1,218.40"
30/08/2015,"22,472.50",46.05,"1,200.50"
6/9/2015,"22,544.50",44.63,"1,181.90"
13/09/2015,"22,509.50",44.68,"1,214.10"
20/09/2015,"22,519.00",45.7,"1,218.80"
27/09/2015,"22,477.50",45.54,"1,204.20"
4/10/2015,"22,238.50",49.63,"1,222.40"
11/10/2015,"22,281.00",47.26,"1,246.60"
18/10/2015,"22,395.00",44.6,"1,218.70"
25/10/2015,"22,335.50",46.59,"1,195.20"
1/11/2015,"22,364.00",44.29,"1,147.90"
8/11/2015,"22,417.50",40.74,"1,141.30"
15/11/2015,"22,472.50",40.39,"1,133.80"
22/11/2015,"22,485.00",41.71,"1,114.50"
29/11/2015,"22,480.00",39.97,"1,143.20"
6/12/2015,"22,500.00",35.62,"1,133.80"
13/12/2015,"22,523.50",34.73,"1,123.30"
